@RELATION pacman

@ATTRIBUTE pacmanx NUMERIC
@ATTRIBUTE pacmany NUMERIC
@ATTRIBUTE legalW NUMERIC
@ATTRIBUTE legalE NUMERIC
@ATTRIBUTE legalN NUMERIC
@ATTRIBUTE legalS NUMERIC
@ATTRIBUTE numghost NUMERIC
@ATTRIBUTE alivePacman NUMERIC
@ATTRIBUTE alive_Ghost1 NUMERIC
@ATTRIBUTE alive_Ghost2 NUMERIC
@ATTRIBUTE alive_Ghost3 NUMERIC
@ATTRIBUTE alive_Ghost4 NUMERIC
@ATTRIBUTE ghost1x NUMERIC
@ATTRIBUTE ghost1y NUMERIC
@ATTRIBUTE ghost2x NUMERIC
@ATTRIBUTE ghost2y NUMERIC
@ATTRIBUTE ghost3x NUMERIC
@ATTRIBUTE ghost3y NUMERIC
@ATTRIBUTE ghost4x NUMERIC
@ATTRIBUTE ghost4y NUMERIC
@ATTRIBUTE g1_west NUMERIC
@ATTRIBUTE g1_stop NUMERIC
@ATTRIBUTE g1_east NUMERIC
@ATTRIBUTE g1_north NUMERIC
@ATTRIBUTE g1_south NUMERIC
@ATTRIBUTE g2_west NUMERIC
@ATTRIBUTE g2_stop NUMERIC
@ATTRIBUTE g2_east NUMERIC
@ATTRIBUTE g2_north NUMERIC
@ATTRIBUTE g2_south NUMERIC
@ATTRIBUTE g3_west NUMERIC
@ATTRIBUTE g3_stop NUMERIC
@ATTRIBUTE g3_east NUMERIC
@ATTRIBUTE g3_north NUMERIC
@ATTRIBUTE g3_south NUMERIC
@ATTRIBUTE g4_west NUMERIC
@ATTRIBUTE g4_stop NUMERIC
@ATTRIBUTE g4_east NUMERIC
@ATTRIBUTE g4_north NUMERIC
@ATTRIBUTE g4_south NUMERIC
@ATTRIBUTE ghost1dist NUMERIC
@ATTRIBUTE ghost2dist NUMERIC
@ATTRIBUTE ghost3dist NUMERIC
@ATTRIBUTE ghost4dist NUMERIC
@ATTRIBUTE pac_dots NUMERIC
@ATTRIBUTE distance_dots NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE class {Stop, East, West, North, South}
@ATTRIBUTE next_score NUMERIC


@DATA
1, 17, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 12, 24, 27, 28, 0, -1, -1, South, -2
1, 16, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 11, 23, 26, 27, 0, -1, -2, South, -3
1, 15, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 10, 22, 25, 26, 0, -1, -3, South, -4
1, 14, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 9, 21, 24, 25, 0, -1, -4, South, -5
1, 13, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 20, 23, 24, 0, -1, -5, South, -6
1, 12, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 7, 19, 22, 25, 0, -1, -6, South, -7
1, 11, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6, 18, 21, 26, 0, -1, -7, South, -8
1, 10, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 17, 20, 27, 0, -1, -8, South, -9
1, 9, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 4, 16, 19, 28, 0, -1, -9, South, -10
1, 8, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 15, 18, 29, 0, -1, -10, South, -11
1, 7, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6, 14, 17, 30, 0, -1, -11, South, -12
1, 6, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 7, 13, 16, 31, 0, -1, -12, South, -13
2, 6, 1, 1, 0, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6, 12, 15, 30, 0, -1, -13, East, -14
3, 6, 1, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 11, 14, 29, 0, -1, -14, East, -15
3, 7, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 4, 12, 15, 28, 0, -1, -15, North, -16
3, 8, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 13, 16, 27, 0, -1, -16, North, -17
3, 9, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 14, 17, 26, 0, -1, -17, North, -18
4, 9, 1, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 13, 16, 25, 0, -1, -18, East, 181
5, 9, 1, 1, 1, 1, 4, 0, 0, 1, 1, 1, 5, 9, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 12, 15, 24, 0, -1, 181, East, 180
6, 9, 1, 0, 1, 1, 4, 0, 0, 1, 1, 1, 1, 1, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 11, 14, 23, 0, -1, 180, East, 179
6, 8, 1, 0, 1, 1, 4, 0, 0, 1, 1, 1, 1, 1, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 10, 13, 24, 0, -1, 179, South, 178
6, 7, 1, 0, 1, 1, 4, 0, 0, 1, 1, 1, 1, 1, 11, 3, 17, 6, 25, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, -1, 9, 12, 25, 0, -1, 178, South, 177
